Plural Nouns,Plural Stems,Rules,Unique Rules:,Straightforward:,other:
anālhāri,-ālhār-,ār->āri,ār->āri,ār->āri,mā->māe
anāmāesi,-āmāes-,es->esi,es->esi,es->esi,el->ūli
anāxkīñi,-āxkīñ-,īñ->īñi,īñ->īñi,īñ->īñi,ār->āra
ancālli,-cāll-,ll->lli,ll->lli,ll->lli,aj->nae
ancāelli,-cāell-,ll->lli,lk->lki,lk->lki,
ancēlki,-cēlk-,lk->lki,wr->wri,wr->wri,
ancēwri,-cēwr-,wr->wri,it->iti,it->iti,
ancēwriti,-cēwrit-,it->iti,lr->lri,lr->lri,
ancīlri,-cīlr-,lr->lri,nn->nni,nn->nni,
ancīllōnni,-cīllōnn-,nn->nni,ēr->ēri,ēr->ēri,
anciēri,-ciēr-,ēr->ēri,cō->cōi,cō->cōi,
ancōi,-cō-,cō->cōi,īm->īmi,īm->īmi,
anexīmi,-exīm-,īm->īmi,mā->māe,añ->añi,
anēlki,-ēlk-,lk->lki,añ->añi,īk->īki,
anhamāri,-hamār-,ār->āri,īk->īki,ec->eci,
anhāmāe,-hāmā-,mā->māe,ec->eci,ŋŋ->ŋŋi,
anhāŋŋañi,-hāŋŋañ-,añ->añi,ŋŋ->ŋŋi,rm->rmi,
anhāri,-hār-,ār->āri,rm->rmi,rū->rūi,
anhēīñi,-hēīñ-,īñ->īñi,rū->rūi,en->eni,
anhēnārīki,-hēnārīk-,īk->īki,en->eni,īl->īli,
anhēññeci,-hēññec-,ec->eci,īl->īli,lt->lti,
anhēŋŋi,-hēŋŋ-,ŋŋ->ŋŋi,lt->lti,ww->wwi,
anhērmi,-hērm-,rm->rmi,ww->wwi,ēj->ēji,
anhūrūi,-hūrū-,rū->rūi,ēj->ēji,on->oni,
anīlkeni,-īlken-,en->eni,on->oni,rs->rsi,
anīllāri,-īllār-,ār->āri,rs->rsi,ān->āni,
anīλīki,-īλīk-,īk->īki,ān->āni,ās->āsi,
anīstīli,-īstīl-,īl->īli,ās->āsi,ēc->ēci,
anjāri,-jār-,ār->āri,ēc->ēci,ōk->ōki,
anjēlti,-jēlt-,lt->lti,ōk->ōki,lū->lūi,
ankālli,-kāll-,ll->lli,lū->lūi,rw->rwi,
ankāwwi,-kāww-,ww->wwi,rw->rwi,ēp->ēpi,
ankehāri,-kehār-,ār->āri,ēp->ēpi,ss->ssi,
ankēji,-kēj-,ēj->ēji,ss->ssi,tt->tti,
ankērrāoni,-kērrāon-,on->oni,tt->tti,mm->mmi,
ankiwōrsi,-kiwōrs-,rs->rsi,mm->mmi,āw->āwi,
ankiēnarrāni,-kiēnarrān-,ān->āni,āw->āwi,ēw->ēwi,
ankōccelli,-kōccell-,ll->lli,ēw->ēwi,ēl->ēli,
anlāsi,-lās-,ās->āsi,el->ūli,ēx->ēxi,
anlēci,-lēc-,ēc->ēci,ēl->ēli,ōl->ōli,
anlōki,-lōk-,ōk->ōki,ēx->ēxi,ōr->ōri,
anlūāni,-lūān-,ān->āni,ōl->ōli,ōn->ōni,
anlūi,-lū-,lū->lūi,ōr->ōri,lm->lmi,
anmāni,-mān-,ān->āni,ōn->ōni,ūr->ūri,
anmārwi,-mārw-,rw->rwi,lm->lmi,āl->āli,
anmāe,-mā-,mā->māe,ūr->ūri,ēn->ēni,
anmēpi,-mēp-,ēp->ēpi,āl->āli,ēñ->ēñi,
anmēssi,-mēss-,ss->ssi,ēn->ēni,āh->āhi,
anmētti,-mētt-,tt->tti,ēñ->ēñi,rr->rri,
annāmmi,-nāmm-,mm->mmi,āh->āhi,ol->oli,
annāri,-nār-,ār->āri,rr->rri,er->eri,
annīli,-nīl-,īl->īli,ol->oli,īr->īri,
anñēīki,-ñēīk-,īk->īki,er->eri,,
anpāwi,-pāw-,āw->āwi,ār->āra,,
anpēwi,-pēw-,ēw->ēwi,īr->īri,,
anrāeli anwūli,-rāel--wūl-,el->ūli,aj->nae,,
anrēli,-rēl-,ēl->ēli,,,
anrēxi,-rēx-,ēx->ēxi,,,
anrōli,-rōl-,ōl->ōli,,,
ansēli,-sēl-,ēl->ēli,,,
antawōri,-tawōr-,ōr->ōri,,,
antaxōni,-taxōn-,ōn->ōni,,,
antāmāe,-tāmā-,mā->māe,,,
antārranni,-tārrann-,nn->nni,,,
antēleni,-tēlen-,en->eni,,,
antēnni,-tēnn-,nn->nni,,,
antīñi,-tīñ-,īñ->īñi,,,
antiēleni,-tiēlen-,en->eni,,,
antōli,-tōl-,ōl->ōli,,,
anþēŋŋeni,-þēŋŋen-,en->eni,,,
anþēwri,-þēwr-,wr->wri,,,
anūlmi,-ūlm-,lm->lmi,,,
anūri,-ūr-,ūr->ūri,,,
anwēlrienāli,-wēlrienāl-,āl->āli,,,
anwēni,-wēn-,ēn->ēni,,,
anwīþþēñi,-wīþþēñ-,ēñ->ēñi,,,
anwūlīñi,-wūlīñ-,īñ->īñi,,,
anxāhi,-xāh-,āh->āhi,,,
anxārrāonīki,-xārrāonīk-,īk->īki,,,
anxēīki,-xēīk-,īk->īki,,,
anxēnēli,-xēnēl-,ēl->ēli,,,
anxēri,-xēr-,ēr->ēri,,,
anxēwi,-xēw-,ēw->ēwi,,,
anxēxi,-xēx-,ēx->ēxi,,,
anxīññeni,-xīññen-,en->eni,,,
anxōni,-xōn-,ōn->ōni,,,
anxūri,-xūr-,ūr->ūri,,,
ansōri,-sōr-,ōr->ōri,,,
annōri,-nōr-,ōr->ōri,,,
ankēōri,-kēōr-,ōr->ōri,,,
ankēōreni,-kēōren-,en->eni,,,
anlārri,-lārr-,rr->rri,,,
annāoli,-nāol-,ol->oli,,,
antāneri,-tāner-,er->eri,,,
macāra,-cār-,ār->āra,,,
makīri,-kīr-,īr->īri,,,
matānae,-tānaj-,aj->nae,,,
maþūskīri,-þūskīr-,īr->īri,,,
