weird nouns,part of speech, stems,possesed nouns,,,Unique Rules,Regular a,Regular e,,,
anālhāri jāxīsse,[N.PHR],-ālhār--āxīss-,saxēwa,[N.3P],-xēw-,ēw->ēwa,ēw->ēwa,st->ste,87,#N/A,
anrēli anhēi,[N.PHR],-hē--rēl-,jacāha,[N.3P],-cāh-,āh->āha,āh->āha,ññ->ññe,45,#N/A,
ā,[N.DEF],-ā-,sacāste,[N.3P],-cāst-,st->ste,ēm->ēma,rr->rre,21,#N/A,
ālū,[NUM],-ālū-,sacāe,[N.3P],-cāj-,āj->cāe,eþ->eþa,pp->ppe,15,#N/A,
āllaral,[NUM],-āllaral-,sacēma,[N.3P],-cēm-,ēm->ēma,ēl->ēla,ww->wwe,1,#N/A,
ālle,[NUM],-āll-,sacēneþa,[N.3P],-cēneþ-,eþ->eþa,āl->āla,īk->īke,82,#N/A,
āllōr,[NUM],-āllōr-,sacīxen,[N.3P],-cīxen-,en->xen,āλ->āλa,rs->rse,,e,n
āmme,[NUM],-āmm-,saciēla,[N.3P],-ciēl-,ēl->ēla,īñ->īña,ll->lle,,#N/A,
āmmōr,[NUM],-āmmōr-,saciēla jahēññe,[N.3P],-ciēl--hēññ-,āl->āla,ōs->ōsa,rn->rne,,#N/A,
ān,[NUM],-ān-,sahāla,[N.3P],-hāl-,āλ->āλa,ūt->ūta,mm->mme,,#N/A,
āniþ,[NUM],-ān-,sahāλa,[N.3P],-hāλ-,hē->ahē,on->ona,ŋŋ->ŋŋe,,#N/A,
ānor,[NUM],-ānor-,sahē,[N.3P],-hē-,ññ->ññe,ēt->ēta,rm->rme,,#N/A,
ānor atē,[NUM],-ānor--tē-,sahēññe,[N.3P],-hēññ-,īñ->īña,īm->īma,tm->tme,,#N/A,
ānor aþāmme,[NUM],-āmm--ānor-,sahēññe janōsa,[N.3P],-hēññ--nōs-,rr->rre,ōl->ōla,wr->wre,,#N/A,
ānor aþān,[NUM],-ān--ānor-,sahēññe jatāwre,[N.3P],-hēññ--tāwr-,ōs->ōsa,ūn->ūna,ss->sse,,#N/A,
ānor aþēnne,[NUM],-ānor--ēnn-,sahīña,[N.3P],-hīñ-,pp->ppe,āc->āca,nt->nte,,#N/A,
ānor aþōnne,[NUM],-ānor--ōnn-,sahīña jacāwa,[N.3P],-cāw--hīñ-,ūt->ūta,en->ena,nn->nne,,#N/A,
ānor awījte,[NUM],-ānor--wījtē-,sahōrre,[N.3P],-hōrr-,on->ona,īw->īwa,tt->tte,,#N/A,
ānor awīor,[NUM],-ānor--wīor-,sahōsa,[N.3P],-hōs-,ēt->ēta,ās->āsa,ln->lne,,#N/A,
ānoru,[NUM],-ānoru-,sahōxen,[N.3P],-hōxen-,īm->īma,ōλ->ōλa,rw->rwe,,#N/A,
